created_at,closed_at,summary,address
2017-01-31T11:15:12-05:00,,"Yard and/or Structure Concern (High Grass, Junk, Broken Down Vehicles, Buildings, Sheds, Garages)","2030 Ashland Ave. Toledo, Ohio"
2017-01-31T11:14:56-05:00,,Vehicle Abandonment,"2000-2006 73rd Avenue Oakland, California"
2017-01-31T11:09:58-05:00,,Graffiti,"345 E 18th St Oakland, CA 94606, USA"
2017-01-31T11:09:36-05:00,,Water Main Break,"13940  Dexter Detroit, Michigan"
2017-01-31T11:08:31-05:00,,3 potholes,"13331 Skyline Boulevard Oakland, California"
2017-01-31T11:08:17-05:00,,Pothole,"1700 34th Street South Saint Petersburg, Florida"
2017-01-31T10:55:53-05:00,,Other,"4917 Tamaron Dr Greensboro, NC 27410, USA"
2017-01-31T10:55:27-05:00,,Other,"4317 Rabbit Brush Ave Nw Albuquerque, New Mexico"
2017-01-31T10:46:59-05:00,,Sanitation Department,"975 Melrose Avenue South Saint Petersburg, Florida"
2017-01-31T10:45:36-05:00,,Illegal Dumping,"Warren Fwy Oakland, CA 94611, USA"
2017-01-31T10:35:47-05:00,,Sanitation Department,"2320 5th St South Saint Petersburg, Florida"
2017-01-31T10:35:33-05:00,,Code Enforcement Problem,"260 The South Chace Ne Atlanta, GA 30328, USA"
2017-01-31T10:34:33-05:00,,"Parking Meter this meter reads out of order, and will require maintenance","52 Howe Street New Haven, Connecticut"
2017-01-31T10:30:52-05:00,,Business Complaint,"20 Center Street Jersey City, NJ"
2017-01-31T10:29:33-05:00,,Add Tunnel Corridor,"11000 West Bingham Highway Bingham Canyon, Utah"
2017-01-31T10:28:54-05:00,,Sidewalks and Curb damage,"378 Townsend Avenue New Haven, CT"
2017-01-31T10:26:24-05:00,,Street Light Maintenance,"906 Boothman Burlington, Ontario"
2017-01-31T10:20:52-05:00,,Sanitation Department,"2720 5th St South Saint Petersburg, Florida"
2017-01-31T10:19:43-05:00,,Sanitation Department,"2630 5th Street South Saint Petersburg, Florida"
2017-01-31T10:18:59-05:00,,Sanitation Department,"2636 5th Street South Saint Petersburg, Florida"
2017-01-31T10:17:41-05:00,,Street Light Maintenance,"3032 Jenn Ave  Burlington, Ontario"
2017-01-31T10:11:19-05:00,,Snow/Ice (Sidewalks),"79 Bellerose Drive St. Albert, Alberta"
2017-01-31T10:06:31-05:00,,Homeless Encampment,26th St & Telegraph Av 
